                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    124,                 1.9367,                 2.3297,                 2.4976,                0.60501,                0.64622,                0.63056,                0.34999,                 1.8635,                 1.7542,                 2.4513,              0.0003961,              0.0003961,              0.0003961
                    125,                 1.9059,                 2.2308,                 2.4693,                0.63375,                0.61172,                0.64377,                0.34892,                 1.8688,                  1.806,                 2.5042,             0.00039115,             0.00039115,             0.00039115
                    126,                 1.8507,                 2.2921,                  2.468,                  0.635,                0.71405,                 0.6915,                0.35263,                 1.8468,                 1.7474,                 2.4625,              0.0003862,              0.0003862,              0.0003862
                    127,                 1.8347,                 2.2425,                  2.429,                 0.6789,                0.55712,                0.70111,                0.36881,                 1.8085,                 1.7544,                 2.3899,             0.00038125,             0.00038125,             0.00038125
                    128,                 1.8298,                 2.3139,                 2.4502,                0.57375,                0.69547,                0.66266,                0.33004,                 1.7807,                 1.9282,                 2.4492,              0.0003763,              0.0003763,              0.0003763
                    129,                 1.8167,                 2.3268,                 2.4772,                 0.5649,                0.63449,                0.63367,                0.29282,                 1.8404,                 1.9673,                 2.5403,             0.00037135,             0.00037135,             0.00037135
                    130,                 1.8115,                 2.2318,                 2.4325,                0.55715,                0.65255,                0.67086,                0.33532,                 1.8597,                  1.879,                  2.551,              0.0003664,              0.0003664,              0.0003664
                    131,                 1.8835,                 2.2449,                   2.45,                0.59358,                0.75758,                0.71352,                0.40018,                 1.7877,                  1.749,                 2.4257,             0.00036145,             0.00036145,             0.00036145
                    132,                 1.8264,                 2.2024,                 2.3772,                0.55212,                0.74426,                0.68721,                0.37515,                 1.7878,                 1.7732,                 2.4215,              0.0003565,              0.0003565,              0.0003565
                    133,                 1.7775,                 2.1766,                  2.379,                0.49844,                0.68818,                0.64542,                0.34987,                 1.7972,                 1.7865,                 2.4552,             0.00035155,             0.00035155,             0.00035155
                    134,                 1.7489,                 2.2155,                 2.4039,                0.58143,                0.62708,                0.64359,                0.33311,                 1.8573,                   1.74,                 2.5478,              0.0003466,              0.0003466,              0.0003466
                    135,                 1.8579,                 2.2488,                  2.475,                0.65119,                0.66779,                0.67643,                0.35771,                 1.8406,                 1.7004,                  2.455,             0.00034165,             0.00034165,             0.00034165
                    136,                 1.8155,                 2.2807,                 2.4019,                 0.5316,                0.65733,                0.67586,                0.35478,                 1.8378,                 1.7334,                 2.4242,              0.0003367,              0.0003367,              0.0003367
                    137,                 1.8572,                 2.2648,                 2.4685,                0.56136,                0.69047,                0.68941,                0.39298,                 1.8092,                 1.6717,                 2.3773,             0.00033175,             0.00033175,             0.00033175
                    138,                  1.759,                 2.1049,                 2.3485,                0.56134,                0.70524,                0.71112,                 0.4007,                 1.8458,                 1.7151,                 2.4571,              0.0003268,              0.0003268,              0.0003268
                    139,                 1.7129,                 2.1196,                 2.3487,                0.66175,                0.68788,                0.74343,                0.38285,                  1.815,                 1.6846,                 2.4472,             0.00032185,             0.00032185,             0.00032185
                    140,                 1.8426,                 2.2401,                 2.4301,                 0.6325,                0.68573,                0.72125,                0.38381,                 1.7347,                 1.7172,                 2.3606,              0.0003169,              0.0003169,              0.0003169
                    141,                 1.8115,                  2.132,                 2.4144,                 0.6001,                0.67358,                0.69574,                0.34745,                 1.8506,                 1.7335,                 2.4905,             0.00031195,             0.00031195,             0.00031195
                    142,                  1.834,                 2.2006,                 2.4295,                0.60204,                0.61007,                0.67037,                0.32452,                  1.833,                  1.696,                 2.5141,               0.000307,               0.000307,               0.000307
                    143,                 1.8169,                 2.2133,                 2.4049,                0.60813,                0.66654,                 0.6461,                0.33196,                 1.7368,                 1.6997,                 2.3828,             0.00030205,             0.00030205,             0.00030205
                    144,                 1.7548,                 2.1805,                 2.3753,                0.49753,                0.71578,                0.61474,                0.33356,                 1.8155,                 1.7286,                 2.4329,              0.0002971,              0.0002971,              0.0002971
                    145,                 1.7878,                 2.1193,                 2.3558,                0.52833,                0.78523,                 0.6804,                0.38257,                 1.7739,                 1.6783,                 2.4048,             0.00029215,             0.00029215,             0.00029215
